NAM 1 Hum BME280,NAM 1 Hum SHT30,NAM 2 Hum BME280,NAM 2 Hum SHT30,NAM 1 Temp BME280,NAM 1 Temp SHT30,NAM 2 Temp BME280,NAM 2 Temp SHT30,Luftdaten 1 PM10,Luftdaten 2 PM10,NAM 1 PM10,NAM 2 PM10,Luftdaten 1 PM2.5,Luftdaten 2 PM2.5,NAM 1 PM2.5,NAM 2 PM2.5,Reference 1 PM10,Reference 2 PM10,Reference 3 PM10,Reference 1 PM2.5,Reference 2 PM2.5,Reference 3 PM2.5
24.48,27.72,24.15,27.56,31.93,31.81,32.43,32.19,4.77,5.64,5.28,5.82,3.91,2.82,3.64,3.29,37.5,13.8,12,13,4.4,4.8
22.67,25.74,20.91,24.4,31.96,31.87,33.98,33.57,5.65,6.75,6.59,7.69,4.84,3.64,4.68,4.59,33.4,13.3,10.9,12.2,4,4.4
21.17,24.17,18.82,21.96,32.91,32.74,35.49,35.11,5.11,6.86,6.11,6.34,4.48,3.42,4.31,4.02,34.3,12.9,9.7,11.8,3.9,4.3
17.92,21.04,17.02,19.98,35.23,34.8,36.26,35.86,4.23,4.16,4.82,4.5,3.53,2.68,3.37,3.03,37.1,12.2,9.5,12.1,3.8,3.8
15.58,18.8,17.32,20.24,38.08,37.52,36.55,36.2,3.86,4.31,4.46,4.69,3.46,2.83,3.41,3.07,35.4,11,8,11.8,3.2,3.5
12.93,16.9,17.64,20.41,42.07,40.39,36.37,36.1,3.85,4.94,4.65,5.34,3.38,2.97,3.65,3.45,34,10.7,8.8,12.7,3,3.7
9.44,13.32,16.99,19.69,45.99,44.56,36.43,36.16,3.9,5.57,4.56,5.97,3.33,3.11,3.6,3.76,39.5,11.5,,13.2,3.4,
12.62,15.26,17.13,19.84,40.11,39.76,35.73,35.37,4.87,5.88,5.28,6.12,4.38,3.61,4.44,3.95,34.5,11.9,,12.9,3.3,
17.6,20.82,18.91,21.75,35.21,34.58,34.57,34.21,5.44,6.02,6.03,6.39,4.63,3.57,4.58,4.12,42.6,13.1,,14.4,3.7,
25.21,29.45,25.2,28.5,32.05,31.3,31.8,31.41,6.13,8.44,6.65,8.29,5.26,4.17,4.8,4.85,37.5,20.7,12.2,13.5,4.6,4.2
32.6,37.35,32.76,36.48,28.68,27.93,28.26,27.79,7.45,9.73,8.61,10.31,6.34,4.62,5.64,5.39,30.7,22.7,20.6,13.1,6.4,6.2
31.83,35.92,31.45,35.61,28.69,28.16,29.08,28.63,6.73,8.13,7.22,8.79,5.63,4.09,4.91,4.69,37.1,26.8,19.5,14.9,10,7.1
32.14,36.17,32.13,36.29,28.18,27.65,28.37,27.89,6.59,6.67,6.68,7.94,5.14,3.84,4.51,4.22,36,28.8,19.4,15,11.3,7.7
33.87,38.03,34.38,38.55,27.04,26.5,26.95,26.47,6.31,7.18,6.43,7.14,4.99,3.63,4.32,3.95,38.6,25.9,18.4,15.7,12.5,7.4
36.3,40.85,37.08,41.44,26.18,25.62,25.97,25.49,6.23,7.38,6.83,8.24,5.12,3.66,4.42,3.98,34.5,20.2,18.5,15.2,9.1,7.5
38.88,43.53,39.61,44.26,25.63,25.08,25.38,24.89,6.56,7.06,6.88,7.81,5.39,3.72,4.53,4.16,25.6,18.4,18.9,14,9.2,8.1
40.8,45.6,41.77,46.62,25.24,24.7,24.87,24.38,6.33,7.75,7.06,8.32,5.48,3.83,4.62,4.05,22,18.3,18.9,14.1,9.5,8.7
42.01,46.76,42.66,47.73,25.09,24.61,24.8,24.34,7.16,7.68,7.24,8.64,5.83,3.96,4.91,4.34,28.8,17,20,16.5,9.5,9.3
