NAM 1 Hum,NAM 2 Hum,NAM 1 Temp,NAM 2 Temp,Luftdaten Hum,Luftdaten Temp,Luftdaten PM10,Luftdaten PM2.5,Reference PM10,Reference PM2.5
39.58,39.45,18.18,18.12,48.77,17.5,7.81625,2.20291666666666,38.5,13.2
44.79,44.76,16.75,16.58,55.14,16.06,6.68291666666666,1.76083333333333,35.5,13
44.79,45.33,16.31,16.1,56.39,15.42,7.41043478260869,1.67,23.2,10.5
45.02,45.38,15.72,15.63,57.27,14.77,4.17916666666666,1.23208333333333,29.1,10.6
47.11,47.23,15.05,15.05,60.49,13.95,3.06708333333333,1.11166666666666,16.7,8.8
50.05,50.82,14.35,14.2,65.97,13.25,3.42217391304347,1.22173913043478,11.5,8
52.48,54.18,13.82,13.68,70.75,12.8,5.74833333333333,1.69708333333333,12.2,8.2
55.5,57.5,13.56,13.31,76.56,12.34,5.15916666666666,1.87791666666666,18.5,9.7
55.06,58.07,14.28,13.52,77.22,12.53,6.95521739130434,2.33130434782608,18.1,10.2
50.68,53.05,16.09,15.25,72.1,13.62,9.10083333333333,2.34958333333333,27.7,12.3
43.12,46.47,18.62,17.26,58.19,17.06,9.01833333333333,2.2125,41.4,14.4
40.2,42.6,19.53,18.72,45.04,21.9,8.75478260869565,2.38782608695652,40.5,13.6
36.68,38.6,20.57,19.7,37.48,23.99,6.44791666666666,1.88124999999999,42.5,14.2
33.65,35.82,20.92,19.92,36.92,23.25,8.21208333333333,2.0825,38.4,12.9
33.26,35.31,20.88,19.84,38.79,21.7,7.10391304347826,1.73608695652173,42.8,13.4
30.91,32.73,21.9,21.1,38.6,21.23,9.16478260869565,2.21086956521739,40.7,13.2
26.65,27.3,23.15,22.92,34.9,22.15,9.88291666666666,2.09375,34.6,11.8
24.12,25.19,23.51,23.11,33.17,22.01,5.61869565217391,1.45434782608695,44.4,12
23.01,25.49,24.29,22.57,32.77,22.03,7.6475,1.63458333333333,40.2,11
19.52,24.73,27.68,22.62,32,22.16,6.46782608695652,1.73391304347826,37.6,11.3
15.89,24.63,30.64,22.65,32.1,22.03,6.04291666666666,1.57916666666666,37.8,11.4
19.83,26.07,26.42,21.84,33.43,21.62,7.10958333333333,1.82708333333333,35.2,11.6
24.83,27.94,22.44,20.96,35.22,20.7,8.48391304347826,2.00130434782608,34.1,11.8
28.22,29.74,20.63,20.1,38.51,19.22,9.64458333333333,1.99083333333333,34.5,11.8
31.17,32.17,19.38,19.25,41.42,18.25,11.8952173913043,2.60739130434782,44,13.6
36.45,38.32,17.7,17.25,44.73,17.15,12.1066666666666,2.73083333333333,45.8,14.9
39.01,41.92,16.92,16.22,49.17,15.87,11.7,3.11624999999999,48.4,16.1
39.49,41.23,16.69,16.28,52.04,15.15,9.64565217391304,2.56304347826086,40.4,16.2
40.54,41.97,16.38,16.02,51.74,15.24,8.13041666666666,2.40458333333333,29.5,14.4
41.07,42.3,16.25,15.89,51.93,15.2,6.67208333333333,2.11291666666666,23.1,12.9
41.27,42.46,16.22,15.86,53.57,15.21,7.16041666666666,2.07625,20.6,12.1
